bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,mean_score_pct,note,note2
-1,,,0,0.0,1,0,,no_attached_run,
0,,,0,0.0,55,0,,no_attached_run,
1,,,0,0.0,226,0,,no_attached_run,
2,,,0,0.0,86,0,,no_attached_run,
3,,,0,0.0,130,0,,no_attached_run,
4,,,0,0.0,141,0,,no_attached_run,
5,,,0,0.0,9,0,,no_attached_run,
6,1,24,23,0.00575,22,0,95.54417295889421,MERGED in,19
7,,,0,0.0,208,0,,no_attached_run,
8,1,16,15,0.00375,341,0,90.0727128982544,DETACHED,
9,,,0,0.0,121,0,,no_attached_run,
10,1,6,5,0.00125,6,0,91.55235886573792,MERGED in,15
11,1,,21,0.00525,8,0,83.86652544140816,disappeared after frame,21
12,,,0,0.0,40,31,,no_attached_run,
13,,,0,0.0,5,0,,no_attached_run,
14,,,0,0.0,1,1,,no_attached_run,
15,6,12,6,0.0015,332,0,87.27558595793587,DETACHED,
16,,,0,0.0,14,14,,no_attached_run,
17,5,12,7,0.00175,245,0,77.25651264190674,DETACHED,
18,,,0,0.0,1,1,,no_attached_run,
19,24,42,18,0.0045,401,1,80.05063186089197,DETACHED,
20,,,0,0.0,200,0,,no_attached_run,
21,,,0,0.0,1,1,,no_attached_run,
22,13,,20,0.005,20,0,88.49914878606796,disappeared after frame,32
25,16,21,5,0.00125,5,0,95.96477270126343,MERGED in,8
29,26,,13,0.00325,13,0,91.40388415409969,disappeared after frame,38
30,32,,25,0.00625,17,0,92.9575685192557,disappeared after frame,56
31,,,0,0.0,4,0,,no_attached_run,
32,,,0,0.0,1,0,,no_attached_run,
33,41,102,61,0.01525,341,1,93.84923304541636,DETACHED,
35,48,85,37,0.00925,37,0,95.26249009209711,MERGED in,43
39,59,123,64,0.016,412,24,93.36798479480129,DETACHED,
43,85,88,3,0.00075,4,0,84.28686410188675,DETACHED,
44,,,0,0.0,1,1,,no_attached_run,
46,88,,3,0.00075,3,0,87.28092511494955,disappeared after frame,90
47,,,0,0.0,4,0,,no_attached_run,
48,,,0,0.0,193,0,,no_attached_run,
49,92,,13,0.00325,2,0,77.20772922039032,disappeared after frame,104
52,99,,19,0.00475,19,0,89.97829744690343,disappeared after frame,117
54,,,0,0.0,1,1,,no_attached_run,
57,,,0,0.0,13,0,,no_attached_run,
58,,,0,0.0,4,0,,no_attached_run,
59,117,,51,0.01275,47,0,93.52031375499482,disappeared after frame,167
62,,,0,0.0,85,0,,no_attached_run,
63,,,0,0.0,6,0,,no_attached_run,
64,125,136,11,0.00275,11,0,95.1426549391313,MERGED in,48
