bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,missing_detection,mean_score_pct,child_id,detachs?,note
-1,,,,,1,0,0.0,,,False,no_attached_run
0,,,,,55,0,0.0,,,False,no_attached_run
1,,,,,226,0,0.0,,,False,no_attached_run
2,,,,,86,0,0.0,,,False,no_attached_run
3,,,,,130,0,1.0,,,False,no_attached_run
4,,,,,141,0,1.0,,,False,no_attached_run
5,,,,,9,0,0.0,,,False,no_attached_run
6,1,24,23,0.00575,22,0,0.0,0.9554417295889421,19,False,/PARENT/CHILD=19
7,,,,,208,0,3.0,,,False,no_attached_run
8,1,,,,341,0,9.0,0.969963176683946,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
9,,,,,121,0,1.0,,,False,no_attached_run
10,1,6,5,0.00125,6,0,0.0,0.9155235886573792,15,False,/PARENT/CHILD=15
11,1,,,,8,0,13.0,0.8386652544140816,,False,disappear after frame21
12,,,,,40,31,41.0,,,False,no_attached_run
13,,,,,5,0,0.0,,,False,no_attached_run
14,,,,,1,1,0.0,,,False,no_attached_run
15,6,12,6,0.0015,332,0,4.0,0.8727558595793588,,True,come from a merge/WARNING the bubble reattached after/DETACHED
16,,,,,14,14,8.0,,,False,no_attached_run
17,5,12,7,0.00175,245,0,9.0,0.7725651264190674,,True,/DETACHED
18,,,,,1,1,0.0,,,False,no_attached_run
19,24,,,,401,1,-67.0,0.9500462053125339,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
20,,,,,200,0,23.0,,,False,no_attached_run
21,,,,,1,1,0.0,,,False,no_attached_run
22,13,,,,20,0,0.0,0.8849914878606796,,False,disappear after frame32
25,16,21,5,0.00125,5,0,0.0,0.9596477270126342,8,False,/PARENT/CHILD=8
29,26,,,,13,0,0.0,0.9140388415409968,,False,disappear after frame38
30,32,49,17,0.00425,17,0,8.0,0.9341662781579154,19,False,/PARENT/CHILD=19
31,,,,,4,0,14.0,,,False,no_attached_run
32,,,,,1,0,0.0,,,False,no_attached_run
33,41,102,61,0.01525,341,1,9.0,0.9384923304541636,,True,WARNING the bubble reattached after/DETACHED
35,48,85,37,0.00925,37,0,0.0,0.9526249009209711,43,False,/PARENTWarning more than 1 merge for this bubble/CHILD=43
39,59,,,,412,24,-91.0,0.9225368151097622,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
43,85,,,,4,0,0.0,0.8428686410188675,,False,come from a merge//PARENT
44,,,,,1,1,0.0,,,False,no_attached_run
46,88,,,,3,0,0.0,0.8728092511494955,,False,disappear after frame90
47,,,,,4,0,8.0,,,False,no_attached_run
48,94,,,,193,0,31.0,0.9415347247074047,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
49,92,,,,2,0,11.0,0.7720772922039032,,False,disappear after frame104
52,99,,,,19,0,0.0,0.8997829744690343,,False,disappear after frame117
54,,,,,1,1,0.0,,,False,no_attached_run
57,,,,,13,0,8.0,,,False,no_attached_run
58,,,,,4,0,10.0,,,False,no_attached_run
59,117,127,10,0.0025,47,0,4.0,0.84985271692276,39,False,/PARENTWarning more than 1 merge for this bubble/CHILD=39
62,,,,,85,0,1.0,,,False,no_attached_run
63,,,,,6,0,7.0,,,False,no_attached_run
64,125,136,11,0.00275,11,0,0.0,0.951426549391313,48,False,/PARENT/CHILD=48
65,130,,,,338,0,8.0,0.9717010490640381,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
66,,,,,5,0,4.0,,,False,no_attached_run
67,,,,,2,0,0.0,,,False,no_attached_run
68,143,,,,12,0,0.0,0.8899048914511999,,False,disappear after frame154
69,163,,,,1,0,0.0,0.8148950338363647,,False,disappear after frame163
70,,,,,2,0,0.0,,,False,no_attached_run
72,160,206,46,0.0115,46,0,0.0,0.958465603382691,48,False,/PARENTWarning more than 1 merge for this bubble/CHILD=48
73,168,209,41,0.01025,41,0,0.0,0.9216218925103908,84,False,/PARENT/CHILD=84
74,,,,,1,0,0.0,,,False,no_attached_run
76,,,,,1,0,0.0,,,False,no_attached_run
77,177,190,13,0.00325,8,0,5.0,0.9481363371014595,65,False,/PARENT/CHILD=65
82,196,209,13,0.00325,36,0,17.0,0.9603840617033151,84,False,/PARENT/CHILD=84
84,209,221,12,0.003,251,2,21.0,0.9423330227533976,,True,come from a merge/WARNING the bubble reattached after/DETACHED
85,197,209,12,0.003,11,0,0.0,0.8642323396422646,65,False,/PARENT/CHILD=65
89,,,,,1,0,0.0,,,False,no_attached_run
90,,,,,74,0,0.0,,,False,no_attached_run
91,208,,,,3,0,0.0,0.8884554107983907,,False,disappear after frame210
92,,,,,22,0,11.0,,,False,no_attached_run
93,215,,,,255,0,6.0,0.969447497994292,,False,come from a merge//PARENT
94,213,244,31,0.00775,30,0,0.0,0.9212925652662913,101,False,/PARENTWarning more than 1 merge for this bubble/CHILD=101
95,,,,,1,1,0.0,,,False,no_attached_run
99,235,,,,1,0,0.0,0.7203333377838135,,False,disappear after frame235
101,244,246,2,0.0005,2,0,0.0,0.8292230367660522,65,False,come from a merge//PARENT/CHILD=65
102,249,277,28,0.007,20,0,7.0,0.9216336220502853,93,False,/PARENT/CHILD=93
103,249,,,,220,0,7.0,0.952645467357202,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
106,,,,,17,0,2.0,,,False,no_attached_run
108,253,,,,202,12,-74.0,0.913036709669793,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
112,285,,,,182,0,9.0,0.9416705150525648,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
113,,,,,174,19,9.0,,,False,no_attached_run
116,,,,,62,0,6.0,,,False,no_attached_run
117,300,306,6,0.0015,6,0,0.0,0.9071063896020254,103,False,/PARENT/CHILD=103
119,,,,,1,0,0.0,,,False,no_attached_run
121,311,320,9,0.00225,9,0,0.0,0.866107788350847,103,False,/PARENT/CHILD=103
122,,,,,1,0,0.0,,,False,no_attached_run
126,,,,,1,1,0.0,,,False,no_attached_run
127,328,,,,17,0,0.0,0.9130943662980023,,False,disappear after frame344
128,331,333,2,0.0005,15,0,14.0,0.9008051951726278,112,False,/PARENTWarning more than 1 merge for this bubble/CHILD=112
132,382,,,,221,43,-95.0,0.9376429955369419,,False,come from a merge//PARENTWarning more than 1 merge for this bubble
133,,,,,17,0,11.0,,,False,no_attached_run
135,353,373,20,0.005,20,0,15.0,0.9329532601616599,137,False,/PARENTWarning more than 1 merge for this bubble/CHILD=137
