bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,missing_detection,mean_score_pct,detachs?,note
0,,,,,55,0,0,,False,no_attached_run
1,,,,,226,0,0,,False,no_attached_run
2,,,,,86,0,0,,False,no_attached_run
3,,,,,130,0,0,,False,no_attached_run
4,,,,,141,0,0,,False,no_attached_run
5,,,,,9,0,0,,False,no_attached_run
6->19<->16,1,42,41,0.01025,22,0,8,0.7291855684348515,True,
7,,,,,208,0,0,,False,no_attached_run
8<->24,1,16,15,0.00375,18,0,1,0.844431683421135,True,
9,,,,,121,0,0,,False,no_attached_run
10->15<->13<->15<->13,1,12,11,0.00275,6,0,0,0.9084077229102453,True,
11,1,,,,8,0,14,0.014124888495395059,False,disappear after frame 21
12,,,,,40,31,0,,False,no_attached_run
13<->15<->13,10,12,2,0.0005,331,0,0,0.7858359416325887,True,
14,,,,,1,1,0,,False,no_attached_run
15<->13<->15<->13,6,12,6,0.0015,6,0,0,0.8727558595793588,True,
16,37,42,5,0.00125,20,14,3,0.3850400944550832,True,
17,5,12,7,0.00175,245,0,4,0.3862825632095337,True,
18,,,,,1,1,0,,False,no_attached_run
19<->16,24,42,18,0.0045,24,1,7,0.5055829380687914,True,
20,,,,,199,0,0,,False,no_attached_run
21,,,,,1,1,0,,False,no_attached_run
22<->27<->22,13,,,,19,0,1,0.03822857398966219,False,disappear after frame 32
24,25,27,2,0.0005,323,0,0,0.8362160921096802,True,
25->8,16,24,8,0.002,5,0,0,0.9260721670256721,True,
27<->22,22,,,,1,0,1,0.022666127671229157,False,disappear after frame 32
29,26,,,,13,0,1,0.026405566533406574,False,disappear after frame 38
30->19<->40<->19,32,60,28,0.007,17,0,3,0.8005721569061279,True,
31,,,,,4,0,0,,False,no_attached_run
32,,,,,1,0,0,,False,no_attached_run
33,41,,,,58,0,2,0.12561877486349524,False,disappear after frame 99
35->43->24,48,89,41,0.01025,37,0,0,0.9370198278200059,True,
39,59,123,64,0.016,269,23,3,0.8905869318888737,True,
40<->19,59,60,1,0.00025,256,0,0,0.714274138212204,True,
43->24,85,89,4,0.001,4,0,0,0.8215422868728638,True,
44,,,,,1,1,0,,False,no_attached_run
46,88,,,,3,0,1,0.006748525137753831,False,disappear after frame 90
47,,,,,4,0,0,,False,no_attached_run
48<->60,94,126,32,0.008,35,0,4,0.7859310363278245,True,
49,92,,,,2,0,12,0.0040212358968953294,False,disappear after frame 104
50,96,101,5,0.00125,113,0,2,0.5157767633597056,True,
51,118,119,1,0.00025,277,0,0,0.8359752595424652,True,
52,99,124,25,0.00625,23,0,3,0.7865053484073052,True,
54,,,,,1,1,0,,False,no_attached_run
57,,,,,14,0,0,,False,no_attached_run
58,,,,,4,0,0,,False,no_attached_run
59->61<->39<->61<->39,117,141,24,0.006,47,0,4,0.6685939693450927,True,
60,122,126,4,0.001,145,0,3,0.3204201698303223,True,
61<->39,125,126,1,0.00025,36,0,0,0.7589192986488342,True,
62,,,,,85,0,0,,False,no_attached_run
63,,,,,6,0,0,,False,no_attached_run
64->48,125,141,16,0.004,11,0,0,0.937844875980826,True,
65<->78<->65,130,185,55,0.01375,320,0,3,0.876518896647862,True,
66,,,,,5,0,0,,False,no_attached_run
67,,,,,2,0,0,,False,no_attached_run
68,143,,,,12,0,1,0.03206864473698017,False,disappear after frame 154
69,163,,,,1,0,1,0.0026034985106593122,False,disappear after frame 163
70,,,,,2,0,0,,False,no_attached_run
72->81->60,160,210,50,0.0125,46,0,1,0.935471748604494,True,
73->84,168,221,53,0.01325,41,0,1,0.9091572938142,True,
74,,,,,3,0,0,,False,no_attached_run
75,,,,,2,0,0,,False,no_attached_run
76,,,,,1,0,0,,False,no_attached_run
77->65<->78,177,198,21,0.00525,8,0,8,0.5710162601687692,True,
78<->65,182,185,3,0.00075,17,0,1,0.588571086525917,True,
80,185,187,2,0.0005,106,0,1,0.49434802929560345,True,
