frame0,track_id,label,merge,time,block,diameter,Column1,saut
289,79,2,0,0.07225,2,19.54599931,0,#VALUE!
294,79,2,0,0.0735,2,23.13917986,1,5
295,79,2,0,0.07375,2,38.13407049,1,1
297,79,2,0,0.07425,2,40.55051792,1,2
298,79,2,0,0.0745,2,40.25145142,0,1
299,79,2,0,0.07475,2,40.17406605,0,1
300,79,2,0,0.075,2,36.98081961,0,1
301,79,2,0,0.07525,2,32.91654697,0,1
305,84,2,0,0.07625,2,31.95842536,0,4
306,84,2,1,0.0765,3,37.94950358,1,1
307,84,2,1,0.07675,3,42.08855742,1,1
308,84,2,1,0.077,3,45.68171458,1,1
309,84,2,1,0.07725,3,46.97620851,1,1
310,84,2,1,0.0775,3,47.28670562,1,1
311,84,2,1,0.07775,3,49.90944776,1,1
312,84,2,1,0.078,3,53.02898973,1,1
313,84,2,1,0.07825,3,54.87127957,1,1
314,84,2,1,0.0785,3,57.6634349,1,1
315,84,2,1,0.07875,3,59.83014558,1,1
316,84,2,1,0.079,3,60.74844505,1,1
317,84,2,1,0.07925,3,61.1135272,1,1
318,84,2,1,0.0795,3,62.02314214,1,1
319,84,2,1,0.07975,3,63.86010896,1,1
320,84,2,1,0.08,3,66.710089,1,1
321,84,2,1,0.08025,3,67.31810759,1,1
322,84,2,1,0.0805,3,69.11702035,1,1
323,84,2,1,0.08075,3,75.05533896,1,1
324,84,2,1,0.081,3,75.9147297,1,1
325,84,2,1,0.08125,3,77.69209843,1,1
326,84,2,1,0.0815,3,78.43421712,1,1
327,84,2,1,0.08175,3,81.74615322,1,1
328,84,2,1,0.082,3,81.26213272,0,1
329,84,2,1,0.08225,3,80.89371874,0,1
330,84,2,1,0.0825,3,80.2226392,0,1
331,84,2,1,0.08275,3,83.46197854,1,1
332,84,2,1,0.083,3,84.95675105,1,1
341,84,2,1,0.08525,3,82.35194014,0,9
343,84,0,1,0.08575,4,82.52875285,1,2
344,89,0,1,0.086,4,83.36695976,1,1
346,84,0,1,0.0865,4,83.24310326,0,2
351,84,0,1,0.08775,4,90.35530316,1,5
352,84,0,1,0.088,4,87.17906434,0,1
354,84,0,1,0.0885,4,89.22841557,1,2
355,84,0,1,0.08875,4,92.78376278,1,1
357,84,2,1,0.08925,5,91.20651864,0,2
360,89,2,1,0.09,5,87.08632208,0,3
361,84,2,1,0.09025,5,116.4129871,1,1
362,84,2,2,0.0905,6,118.301746,1,1
364,84,0,2,0.091,7,117.6042153,0,2
365,84,0,2,0.09125,7,117.5590244,0,1
366,84,0,2,0.0915,7,115.7691701,0,1
367,84,0,2,0.09175,7,112.7979678,0,1
