frame0,track_id,label,merge,time,block,diameter,ybottom,ytop,Column1,Column2
289,79,2,0,0.07225,2,19.54599931,911,896,#VALUE!,
294,79,2,0,0.0735,2,23.13917986,912,890,1,-6
295,79,2,0,0.07375,2,38.13407049,910,885,-2,-5
297,79,2,0,0.07425,2,40.55051792,910,877,0,-8
298,79,2,0,0.0745,2,40.25145142,910,874,0,-3
299,79,2,0,0.07475,2,40.17406605,909,872,-1,-2
300,79,2,0,0.075,2,36.98081961,909,872,0,0
301,79,2,0,0.07525,2,32.91654697,908,874,-1,2
305,84,2,1,0.07625,3,31.95842536,911,890,3,16
306,84,2,1,0.0765,3,37.94950358,913,887,2,-3
307,84,2,1,0.07675,3,42.08855742,912,882,-1,-5
308,84,2,1,0.077,3,45.68171458,912,877,0,-5
309,84,2,1,0.07725,3,46.97620851,912,872,0,-5
310,84,2,1,0.0775,3,47.28670562,910,869,-2,-3
311,84,2,1,0.07775,3,49.90944776,910,866,0,-3
312,84,2,1,0.078,3,53.02898973,910,862,0,-4
313,84,2,1,0.07825,3,54.87127957,909,860,-1,-2
314,84,2,1,0.0785,3,57.6634349,910,856,1,-4
315,84,2,1,0.07875,3,59.83014558,910,854,0,-2
316,84,2,1,0.079,3,60.74844505,908,852,-2,-2
317,84,2,1,0.07925,3,61.1135272,908,851,0,-1
318,84,2,1,0.0795,3,62.02314214,908,851,0,0
319,84,2,1,0.07975,3,63.86010896,908,846,0,-5
320,84,2,1,0.08,3,66.710089,909,843,1,-3
321,84,2,1,0.08025,3,67.31810759,909,840,0,-3
322,84,2,1,0.0805,3,69.11702035,908,836,-1,-4
323,84,2,1,0.08075,3,75.05533896,908,832,0,-4
324,84,2,1,0.081,3,75.9147297,908,831,0,-1
325,84,2,1,0.08125,3,77.69209843,907,827,-1,-4
326,84,2,1,0.0815,3,78.43421712,906,827,-1,0
327,84,2,1,0.08175,3,81.74615322,906,823,0,-4
328,84,2,1,0.082,3,81.26213272,908,821,2,-2
329,84,2,1,0.08225,3,80.89371874,905,817,-3,-4
330,84,2,1,0.0825,3,80.2226392,902,816,-3,-1
331,84,2,1,0.08275,3,83.46197854,907,813,5,-3
332,84,2,1,0.083,3,84.95675105,906,811,-1,-2
341,84,2,1,0.08525,3,82.35194014,881,800,-25,-11
343,84,0,1,0.08575,4,82.52875285,876,800,-5,0
344,89,0,1,0.086,4,83.36695976,874,799,-2,-1
346,84,0,1,0.0865,4,83.24310326,870,797,-4,-2
351,84,0,1,0.08775,4,90.35530316,872,794,2,-3
352,84,0,1,0.088,4,87.17906434,869,802,-3,8
354,84,0,1,0.0885,4,89.22841557,860,792,-9,-10
355,84,0,1,0.08875,4,92.78376278,865,788,5,-4
357,84,2,1,0.08925,5,91.20651864,860,783,-5,-5
360,89,2,1,0.09,5,87.08632208,840,775,-20,-8
361,84,2,2,0.09025,6,116.4129871,901,773,61,-2
362,84,2,2,0.0905,6,118.301746,907,769,6,-4
364,84,0,2,0.091,7,117.6042153,892,761,-15,-8
365,84,0,2,0.09125,7,117.5590244,887,754,-5,-7
366,84,0,2,0.0915,7,115.7691701,878,748,-9,-6
367,84,0,2,0.09175,7,112.7979678,871,745,-7,-3
