chip,tension,extension,departDiameter,departDiameter_std,frequencyGT,frequencyGT_std,frequencyDeparture,elevationVelocity,elevationVelocity_std,growingVelocity,growingVelocity_std
T87,50,T87_50V1,3.8615473163739815,1.0286404166791911,98.88634120907247,38.366571888896964,183.4862385321101,292.9166346074951,142.02894154380232,188.4180634615122,119.22226804268728
T87,50,T87_50V2,2.5274293229231404,0.3520462774467994,41.520716924807196,6.2710098423829335,95.23809523809524,274.9537675709586,125.7582977928531,150.54944920853856,136.37741414753435
T87,50,T87_50V1,3.8615473163739815,1.0286404166791911,98.88634120907247,38.366571888896964,183.4862385321101,292.9166346074951,142.02894154380232,188.4180634615122,119.22226804268728
T87,50,T87_50V2,2.5274293229231404,0.3520462774467994,41.520716924807196,6.2710098423829335,95.23809523809524,274.9537675709586,125.7582977928531,150.54944920853856,136.37741414753435
T87,60,T87_60V1,3.879360333787161,1.2175650980445063,92.41114731310809,14.642275623137312,104.51306413301663,302.89051105006587,167.87641380605072,202.37370218371495,140.77178317997297
T87,60,T87_60V2,3.5470546941424654,1.0720865046277308,76.93062464167402,32.75566407850428,169.55684007707129,270.62706796623894,116.55361493142722,187.6583104402904,137.16592451222124
T87,75,T87_75V1,5.057782446617745,1.293416882413129,142.2961422961423,73.92007392007392,64.0,307.9177210456967,155.62783572885084,274.24484769807776,165.85458459835135
T87,75,T87_75V2,3.868338678387388,1.7316525191477177,104.30171896965729,49.87398030914973,237.3887240356083,291.8122393403714,136.2650132912658,192.38684430085178,140.7455693636544
T87,85,T87_85V1,3.7500968517129354,2.3746430808011683,85.46080589814821,40.1525526947929,262.2950819672131,356.3034428172027,209.36827767220097,256.11388786411504,174.5773032791997
T87,85,T87_85V2,3.5666085774807654,1.6903663991049171,80.69557311965922,16.032081533244707,160.0,302.02519084556474,122.92840374127093,217.01337016514248,147.26025136200002
T87,100,T87_100V1,4.778728648135233,3.8304575699590258,127.00429739845663,85.48419102702739,177.77777777777777,299.09801375468317,141.53103085181263,272.40638921580336,203.04143122819062
T87,100,T87_100V2,4.995622822125881,3.6483004310487392,45.77978740282405,3.3209824372743717,177.94970986460348,310.8312547674038,165.3389556484403,260.6142990814764,185.20536863912963
T88,50,T88_50V1,2.563783433898616,0.5250397764142246,209.5015076734643,139.97045334884024,324.58233890214797,290.1316143105232,129.99422431854506,163.4245578231293,134.25177703209067
T88,50,T88_50V2,2.3319065426821357,0.27177736807558495,170.88214695699455,127.76626337632639,313.5593220338983,293.24655751786725,138.4919544399817,163.54140893470796,142.94118436541805
T88,60,T88_60V1,2.922226599296218,0.5779210199352741,156.1640399633089,101.6248876674929,387.09677419354836,306.7186595138751,149.06521481611782,212.24826149425297,158.27795698510863
T88,60,T88_60V2,2.6814432981776863,0.41990329790919245,164.12670640496307,132.12684593000836,400.9546539379475,283.6327672038287,133.18502295502276,205.1175875738866,147.4654383462795
T88,75,T88_75V1,3.9942227332057363,1.4949317624429128,98.23659367648052,43.45582700628815,360.0,304.0166388563622,175.18029526998546,250.66399100485265,187.7808965799457
T88,75,T88_75V2,4.022127557700355,1.7801073245469048,83.82844098335408,36.79600448465943,257.77777777777777,313.4781004547768,201.02917085596914,239.35862313158538,168.26623609835244
T88,85,T88_85V1,5.5652049925282725,3.0460328937976535,107.98777804894891,34.55735774050884,229.29936305732485,331.6218511724022,205.23091401273908,271.0313980171409,168.67547626824782
T88,85,T88_85V2,4.849090632154351,2.2968902537020095,84.2538607724261,29.966794594721843,160.0,302.590424335916,174.4454106304535,255.16989228623177,186.84524702495332
T88,100,T88_100V1,6.125350964438774,2.5858316373573125,215.71987264124587,159.41195828161236,137.3390557939914,348.7885675675675,220.9888599675331,299.483355784001,187.00265352800506
T88,100,T88_100V2,7.085823353235622,2.8556450806769775,193.98376531769748,113.73435442363983,130.9090909090909,443.9091634491633,312.2243823125511,357.03403685439025,256.36745174743027
T89,50,T89_50V1,2.429595070553013,0.1534071068659898,212.42858038204182,126.85984364346777,246.64879356568366,297.809406977927,136.54141254299873,131.88567551289285,111.92095060661948
T89,50,T89_50V2,2.543339088124649,0.4274883884176143,241.51346544798906,185.25982866513817,288.0,273.56913107283805,121.40159598068362,150.57981649639243,146.16854941193245
T89,60,T89_60V1,2.6256656712101876,0.4027453514518762,276.0226823536176,179.73962994971166,487.0848708487085,285.2936432999523,139.23783207178337,181.46316219667943,131.5320550251826
T89,60,T89_60V2,2.729424022743094,0.4546591807488645,223.07076251520024,174.4448538450845,376.0,284.5738499649104,241.83832978252497,187.76147131371326,145.85948611310658
T89,75,T89_75V1,2.7591262052738235,0.373705499076751,225.61588993513877,190.1743326501736,395.9044368600683,274.60756875687576,122.4635849027578,176.427832800852,274.0572149597622
T89,75,T89_75V2,2.889395903304694,0.4970921140656565,186.4830391691662,138.5266432726423,379.0523690773067,300.6095088391344,161.09938022194552,208.8183995734383,176.7806367834804
T89,100,T89_100V1,3.475993775029297,0.7664880557300576,81.34221462727416,21.9464171249174,363.6363636363636,307.92678420396953,174.08937494573763,242.91374066660114,174.04423311886003
T89,100,T89_100V2,3.080249150476244,0.5887702498752772,104.29637452991865,55.92117344185298,384.4155844155844,306.6441488192352,212.44681288382728,194.44188933873147,119.01918249659762
T89,85,T89_85V1,3.2492291016980075,0.7120017985465832,125.4885579517688,90.8793709522741,310.44776119402985,287.8115927938233,141.71229019246132,232.07780176938067,262.6274273102639
T89,85,T89_85V2,3.17710764688876,0.686136667691986,163.04257769546683,100.85023384938054,335.87786259541986,292.39351994149433,145.5222852638847,187.3640673241852,136.7056084852656
