Metric,IoU,Area,old,all,all_jpg,cav,tip
AP,0.50:0.95,all,0.417,0.509,0.518,0.472,0.523
AP,0.50,all,0.574,0.69,0.699,0.657,0.684
AP,0.75,all,0.516,0.574,0.575,0.533,0.564
AP,0.50:0.95,small,0.193,0.266,0.282,0.203,0.293
AP,0.50:0.95,medium,0.48,0.568,0.574,0.528,0.595
AP,0.50:0.95,large,0.522,0.713,0.744,0.677,0.667
AR,0.50:0.95,all,0.175,0.221,0.214,0.188,0.243
AR,0.50:0.95,all,0.477,0.593,0.589,0.542,0.601
AR, 0.50:0.95,all,0.477,0.593,0.589,0.542,0.601
AR,0.50:0.95,small,0.21,0.285,0.294,0.21,0.306
AR,0.50:0.95,medium,0.535,0.653,0.644,0.593,0.674
AR,0.50:0.95,large,0.6,0.844,0.847,0.812,0.723
