Metric,IoU,Area,old,all,all_jpg,cav,tip
AP,0.50:0.95,all,0.477,0.568,0.591,0.514,0.607
AP,0.50,all,0.664,0.76,0.775,0.69,0.798
AP,0.75,all,0.594,0.636,0.682,0.592,0.655
AP,0.50:0.95,small,0.156,0.243,0.236,0.145,0.265
AP,0.50:0.95,medium,0.532,0.636,0.661,0.579,0.678
AP,0.50:0.95,large,0.425,0.484,0.515,0.467,0.521
AR,0.50:0.95,all,0.204,0.253,0.247,0.206,0.278
AR,0.50:0.95,all,0.549,0.644,0.649,0.569,0.683
AR, 0.50:0.95,all,0.549,0.644,0.649,0.569,0.683
AR,0.50:0.95,small,0.169,0.257,0.249,0.155,0.278
AR,0.50:0.95,medium,0.597,0.707,0.709,0.628,0.743
AR,0.50:0.95,large,0.483,0.543,0.56,0.535,0.569
